Resetting...

EVENT #: 42	 LOGGED @ TIME: 0000352269	ACTIVE TASK ID: 02	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 43	 LOGGED @ TIME: 0000360475	ACTIVE TASK ID: 02	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 44	 LOGGED @ TIME: 0000370018	ACTIVE TASK ID: 02	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 45	 LOGGED @ TIME: 0000376863	ACTIVE TASK ID: 02	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 46	 LOGGED @ TIME: 0000386405	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 47	 LOGGED @ TIME: 0000394609	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 48	 LOGGED @ TIME: 0000404146	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 49	 LOGGED @ TIME: 0000412352	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 50	 LOGGED @ TIME: 0000421894	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 51	 LOGGED @ TIME: 0000428740	ACTIVE TASK ID: 03	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 52	 LOGGED @ TIME: 0000438282	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 53	 LOGGED @ TIME: 0000446485	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 54	 LOGGED @ TIME: 0000454689	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 55	 LOGGED @ TIME: 0000464229	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 56	 LOGGED @ TIME: 0000472438	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 57	 LOGGED @ TIME: 0000480619	ACTIVE TASK ID: 04	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 58	 LOGGED @ TIME: 0000488823	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 59	 LOGGED @ TIME: 0000498362	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 60	 LOGGED @ TIME: 0000506566	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 61	 LOGGED @ TIME: 0000516106	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 62	 LOGGED @ TIME: 0000524315	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 63	 LOGGED @ TIME: 0000532495	ACTIVE TASK ID: 05	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 64	 LOGGED @ TIME: 0000540702	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 65	 LOGGED @ TIME: 0000550238	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 66	 LOGGED @ TIME: 0000558440	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 67	 LOGGED @ TIME: 0000566649	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 68	 LOGGED @ TIME: 0000576191	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 69	 LOGGED @ TIME: 0000584372	ACTIVE TASK ID: 06	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 70	 LOGGED @ TIME: 0000592579	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 71	 LOGGED @ TIME: 0000600782	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 72	 LOGGED @ TIME: 0000610319	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_XGET_OK_DECREMENTED
EVENT #: 73	 LOGGED @ TIME: 0000618523	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 74	 LOGGED @ TIME: 0000628068	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_GET_OK
EVENT #: 75	 LOGGED @ TIME: 0000634916	ACTIVE TASK ID: 32	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 76	 LOGGED @ TIME: 0000644455	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 77	 LOGGED @ TIME: 0000652658	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 78	 LOGGED @ TIME: 0000662200	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_XGET_BUSY_WAIT
EVENT #: 79	 LOGGED @ TIME: 0000670392	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 80	 LOGGED @ TIME: 0000678599	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_GET_BUSY_WAIT
EVENT #: 81	 LOGGED @ TIME: 0000686796	ACTIVE TASK ID: 11	MODULE: TASKS	ABRTOS_TASK_CURRENT_WAITSEMA_STARTED
EVENT #: 82	 LOGGED @ TIME: 0000696347	ACTIVE TASK ID: 11	MODULE: TASKS	ABRTOS_TASK_CURRENT_WAITSEMA_COMPLETED
EVENT #: 83	 LOGGED @ TIME: 0000705903	ACTIVE TASK ID: 11	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_COMPLETED
EVENT #: 84	 LOGGED @ TIME: 0000715443	ACTIVE TASK ID: 07	MODULE: SEMA 	ABRTOS_SEMA_GET_SEMA_STARTED
EVENT #: 85	 LOGGED @ TIME: 0000723646	ACTIVE TASK ID: 07	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_STARTED
EVENT #: 86	 LOGGED @ TIME: 0000731854	ACTIVE TASK ID: 07	MODULE: SEMA 	ABRTOS_SEMA_XGET_BUSY_WAIT
EVENT #: 87	 LOGGED @ TIME: 0000740046	ACTIVE TASK ID: 07	MODULE: SEMA 	ABRTOS_SEMA_XGET_SEMA_COMPLETED
EVENT #: 88	 LOGGED @ TIME: 0000749588	ACTIVE TASK ID: 07	MODULE: SEMA 	ABRTOS_SEMA_GET_BUSY_WAIT
EVENT #: 89	 LOGGED @ TIME: 0000757781	ACTIVE TASK ID: 07	MODULE: TASKS	ABRTOS_TASK_CURRENT_WAITSEMA_STARTED
